# Interpolated data from file: raw_data/all_forward_0.bag.csv
# Old header: # Exported rosbag data from bag: 4_20_18/all_forward_0.bag
# # Start rostime: 1524255661.24587
# # End rostime: 1524255854.75600
# # Message count: 61790 filtered, 67254 total
# 
# # time,command_rpm,command_servo,sensed_rpm,sensed_voltage,mocap_x,mocap_y,mocap_theta
# 
# time,command_rpm,command_servo,sensed_rpm,sensed_voltage,x,y,theta,dx,dy,dtheta,ddx,ddy,ddtheta,world_dx,world_dy,world_dtheta
1524255811.5276401,2612.3418000,0.5200000,4938.3137383,8.0643717,-2.1523400,-2.3472514,-0.7406149,0.1182949,0.0090888,-0.0156762,6.8532557,0.5219729,-0.8987836,0.0811755,0.0865265,-0.0156762
1524255811.5359735,2612.3418000,0.5200000,3624.0347588,7.9043865,-2.1516636,-2.3465304,-0.7407456,0.1754054,0.0134385,-0.0231660,10.0473580,0.7609425,-1.3086767,0.1203743,0.1282874,-0.0231660
1524255811.5443070,2612.3418000,0.5200000,5029.7523071,8.0755024,-2.1503338,-2.3451133,-0.7410010,0.2857509,0.0217711,-0.0374875,12.6879730,0.9478481,-1.6249592,0.1961290,0.2089521,-0.0374875
1524255811.5526404,2612.3418000,0.5200000,4889.0747609,8.0297895,-2.1483947,-2.3430479,-0.7413704,0.3868716,0.0292360,-0.0502487,11.4326614,0.8306946,-1.4139252,0.2655917,0.2828169,-0.0502487
1524255811.5609739,2612.3418000,0.5200000,4744.0000000,8.0000000,-2.1459073,-2.3403997,-0.7418385,0.4762953,0.0356160,-0.0610529,9.9402781,0.6937207,-1.1664851,0.3270742,0.3480634,-0.0610529
1524255811.5693073,2612.3418000,0.5200000,4744.0000000,8.0350647,-2.1429435,-2.3372468,-0.7423879,0.5525429,0.0407980,-0.0696901,8.3310306,0.5492035,-0.9049408,0.3795633,0.4036086,-0.0696901
1524255811.5776408,2612.3418000,0.5200000,4744.0000000,8.1000000,-2.1395812,-2.3336729,-0.7430000,0.6151458,0.0447694,-0.0761352,6.7199121,0.4082819,-0.6501134,0.4227329,0.4491164,-0.0761352
1524255811.5859742,2612.3418000,0.5200000,4744.0000000,8.1000000,-2.1358980,-2.3297615,-0.7436568,0.6645414,0.0476027,-0.0805253,5.2039310,0.2797560,-0.4190005,0.4568748,0.4849193,-0.0805253
1524255811.5943077,2612.3418000,0.5200000,4744.0000000,8.1000000,-2.1319666,-2.3255909,-0.7443421,0.7018779,0.0494320,-0.0831186,3.8540446,0.1694327,-0.2230379,0.4827653,0.5118729,-0.0831186
1524255811.6026411,2612.3418000,0.5200000,4744.0000000,8.1000000,-2.1278519,-2.3212303,-0.7450421,0.7287755,0.0504266,-0.0842426,2.7126138,0.0799657,-0.0674958,0.5015039,0.5311784,-0.0842426
