# Interpolated data from file: raw_data/all_reverse_1.bag.csv
# Old header: # Exported rosbag data from bag: 4_20_18/all_reverse_1.bag
# # Start rostime: 1524256115.89923
# # End rostime: 1524256439.57586
# # Message count: 103338 filtered, 112311 total
# 
# # time,command_rpm,command_servo,sensed_rpm,sensed_voltage,mocap_x,mocap_y,mocap_theta
# 
# time,command_rpm,command_servo,sensed_rpm,sensed_voltage,x,y,theta,dx,dy,dtheta,ddx,ddy,ddtheta,world_dx,world_dy,world_dtheta
1524256310.1001401,-17250.0000000,0.5200000,-13505.0000000,7.3000000,-3.7549581,-3.2110648,1.9708521,-0.3224535,0.0824749,-0.4432668,-18.6107918,5.0875859,-25.7559680,0.2015485,0.2648709,-0.4432668
1524256310.1084735,-17250.0000000,0.5200000,-13498.4367626,7.3000000,-3.7532786,-3.2088575,1.9671582,-0.4775435,0.1248715,-0.6578999,-27.2130763,7.7555366,-37.8343288,0.2995531,0.3923118,-0.6578999
1524256310.1168070,-17250.0000000,0.5200000,-13479.0000000,7.3000000,-3.7499656,-3.2045262,1.9598871,-0.7760048,0.2117339,-1.0738389,-34.1361098,10.7005181,-48.0077568,0.4902830,0.6376811,-1.0738389
1524256310.1251404,-17250.0000000,0.5200000,-13479.0000000,7.3000000,-3.7451072,-3.1982295,1.9492609,-1.0464786,0.3032134,-1.4580291,-30.3130252,11.2819349,-43.6826194,0.6684237,0.8603869,-1.4580291
1524256310.1334739,-17250.0000000,0.5200000,-13476.8496724,7.2283224,-3.7388252,-3.1901865,1.9355866,-1.2812219,0.3997661,-1.8018826,-25.7321142,11.8603447,-38.5283693,0.8305412,1.0542978,-1.8018826
1524256310.1418073,-17250.0000000,0.5200000,-13288.1198910,7.2555858,-3.7312648,-3.1806579,1.9192295,-1.4753472,0.5008858,-2.1001686,-20.7413260,12.3310054,-32.9509095,0.9745083,1.2156766,-2.1001686
1524256310.1501408,-17250.0000000,0.5200000,-13125.2191904,7.2624094,-3.7225834,-3.1699252,1.9005838,-1.6269106,0.6052829,-2.3510644,-15.6779962,12.6186255,-27.3369682,1.0995268,1.3432224,-2.3510644
1524256310.1584742,-17250.0000000,0.5200000,-13101.5036860,7.2178308,-3.7129394,-3.1582708,1.8800451,-1.7366471,0.7111963,-2.5557848,-10.8314824,12.6869701,-22.0112006,1.2059955,1.4378171,-2.5557848
1524256310.1668077,-17250.0000000,0.5200000,-13090.0000000,7.2960199,-3.7024835,-3.1459616,1.8579874,-1.8074354,0.8167324,-2.7179178,-6.4179646,12.5373352,-17.2093304,1.2952549,1.5020616,-2.7179178
1524256310.1751411,-17250.0000000,0.5200000,-13090.0000000,7.2104619,-3.6913518,-3.1332365,1.8347465,-1.8436132,0.9201519,-2.8426069,-2.5703896,12.1993339,-13.0696383,1.3692754,1.5396993,-2.8426069
