# Interpolated data from file: data/4_30_18_exported/constant_circles_cont.bag.csv
# Old header: # Exported rosbag data from bag: 4_30_18/constant_circles_cont.bag
# # Start rostime: 1525075090.96896
# # End rostime: 1525075490.99009
# # Message count: 124573 filtered, 154036 total
# 
# # time,command_rpm,command_servo,sensed_rpm,sensed_voltage,mocap_x,mocap_y,mocap_theta
# 
# time,command_rpm,command_servo,sensed_rpm,sensed_voltage,x,y,theta,dx,dy,dtheta,ddx,ddy,ddtheta,world_dx,world_dy,world_dtheta
1525075382.9371500,0.0000000,0.5200000,3341.1512840,7.3000000,0.3071152,4.2089647,2.7657058,0.1909241,0.2221356,-0.0396425,11.0695075,12.8464305,-2.3023796,-0.0960488,-0.2767144,-0.0396425
1525075382.9454834,0.0000000,0.5200000,3115.0849246,7.3000000,0.3063148,4.2066588,2.7653754,0.2831700,0.3291892,-0.0588290,16.2362959,18.8113826,-3.3808774,-0.1424197,-0.4102041,-0.0588290
1525075382.9538169,0.0000000,0.5200000,2905.7691799,7.3000000,0.3047416,4.2021280,2.7647253,0.4615290,0.5356586,-0.0959904,20.5253336,23.6855053,-4.2865858,-0.2320124,-0.6679142,-0.0959904
1525075382.9621503,0.0000000,0.5200000,2718.3525968,7.3000000,0.3024479,4.1955269,2.7637756,0.6252589,0.7239476,-0.1302721,18.5299124,21.2112754,-3.8944426,-0.3141020,-0.9035423,-0.1302721
1525075382.9704838,0.0000000,0.5200000,2555.7072951,7.3000000,0.2995065,4.1870690,2.7625541,0.7703609,0.8891799,-0.1608978,16.1461007,18.2687563,-3.4275365,-0.3866604,-1.1111213,-0.1608978
1525075382.9788172,0.0000000,0.5200000,2451.4665363,7.3000000,0.2960036,4.1770082,2.7610939,0.8943606,1.0284269,-0.1873977,13.5591290,15.0931861,-2.9233676,-0.4484547,-1.2870241,-0.1873977
1525075382.9871507,0.0000000,0.5200000,2348.4017595,7.3000000,0.2920323,4.1656186,2.7594308,0.9963464,1.1407330,-0.2096206,10.9478192,11.9084534,-2.4177604,-0.4990601,-1.4300059,-0.2096206
1525075382.9954841,0.0000000,0.5200000,2244.8434774,7.3000000,0.2876859,4.1531748,2.7576003,1.0768242,1.2269011,-0.2276937,8.4650358,8.9024270,-1.9405917,-0.5387781,-1.5409591,-0.2276937
1525075383.0038176,0.0000000,0.5200000,2140.5819298,7.3000000,0.2830526,4.1399359,2.7556359,1.1374303,1.2891068,-0.2419638,6.2247638,6.2116699,-1.5135817,-0.5684808,-1.6224591,-0.2419638
1525075383.0121510,0.0000000,0.5200000,2040.1690816,7.3000000,0.2782112,4.1261338,2.7535675,1.1805703,1.3304289,-0.2529201,4.2969722,3.9162789,-1.1485894,-0.5894219,-1.6782041,-0.2529201
1525075383.0204844,0.0000000,0.5200000,1972.9482323,7.3000000,0.2732289,4.1119659,2.7514206,1.2090465,1.3543781,-0.2611070,2.7095056,2.0438999,-0.8483918,-0.6030445,-1.7124458,-0.2611070
