# Interpolated data from file: /Users/coreywalsh/remote/racecar/bags/5_5_18_exported/donuts_2.bag.csv
# Old header: # Exported rosbag data from bag: 5_5_18/donuts_2.bag
# # Start rostime: 1525580574.19782
# # End rostime: 1525580667.92574
# # Message count: 39292 filtered, 41740 total
# 
# # time,command_rpm,command_servo,sensed_rpm,sensed_voltage,mocap_x,mocap_y,mocap_theta
# 
# time,command_rpm,command_servo,sensed_rpm,sensed_voltage,x,y,theta,dx,dy,dtheta,ddx,ddy,ddtheta,world_dx,world_dy,world_dtheta
1525580574.3604400,0.0000000,0.5370000,0.0000000,7.7000000,-0.5619215,0.2539000,1.8623823,0.0000027,0.0000090,-0.0001493,0.0001642,0.0005472,-0.0079616,-0.0000094,0.0000000,-0.0001493
1525580574.3687735,0.0000000,0.5370000,0.0000000,7.7000000,-0.5619216,0.2539000,1.8623810,0.0000041,0.0000136,-0.0002156,0.0002456,0.0008184,-0.0109608,-0.0000142,0.0000000,-0.0002156
1525580574.3771069,0.0000000,0.5370000,0.0000000,7.7000000,-0.5619217,0.2539000,1.8623787,0.0000068,0.0000226,-0.0003320,0.0003248,0.0010822,-0.0116249,-0.0000236,0.0000000,-0.0003320
1525580574.3854403,0.0000000,0.5370000,0.0000000,7.7000000,-0.5619220,0.2539000,1.8623755,0.0000095,0.0000316,-0.0004094,0.0003093,0.0010305,-0.0063434,-0.0000330,0.0000000,-0.0004094
1525580574.3937738,0.0000000,0.5370000,0.0000000,7.7000000,-0.5619223,0.2539000,1.8623719,0.0000120,0.0000398,-0.0004377,0.0002590,0.0008630,-0.0000512,-0.0000416,0.0000000,-0.0004377
1525580574.4021072,0.0000000,0.5370000,0.0000000,7.7000000,-0.5619227,0.2539000,1.8623682,0.0000138,0.0000460,-0.0004102,0.0001626,0.0005419,0.0067138,-0.0000480,0.0000000,-0.0004102
1525580574.4104407,0.0000000,0.5370000,0.0000000,7.7000000,-0.5619231,0.2539000,1.8623650,0.0000147,0.0000488,-0.0003258,0.0000226,0.0000754,0.0132473,-0.0000510,0.0000000,-0.0003258
1525580574.4187741,0.0000000,0.5370000,0.0000000,7.7000000,-0.5619235,0.2539000,1.8623628,0.0000142,0.0000472,-0.0001894,-0.0001587,-0.0005289,0.0188690,-0.0000493,0.0000000,-0.0001894
1525580574.4271076,0.0000000,0.5370000,0.0000000,7.7000000,-0.5619239,0.2539000,1.8623619,0.0000120,0.0000400,-0.0000113,-0.0003675,-0.0012244,0.0230242,-0.0000418,0.0000000,-0.0000113
1525580574.4354410,0.0000000,0.5370000,0.0000000,7.7000000,-0.5619242,0.2539000,1.8623626,0.0000081,0.0000268,0.0001943,-0.0005750,-0.0019160,0.0253051,-0.0000280,0.0000000,0.0001943
1525580574.4437745,0.0000000,0.5370000,0.0000000,7.7000000,-0.5619244,0.2539000,1.8623651,0.0000024,0.0000081,0.0004105,-0.0007549,-0.0025152,0.0255089,-0.0000085,0.0000000,0.0004105
1525580574.4521079,0.0000000,0.5370000,0.0000000,7.7000000,-0.5619244,0.2539000,1.8623694,-0.0000045,-0.0000151,0.0006195,-0.0008853,-0.0029496,0.0236735,0.0000158,0.0000000,0.0006195
1525580574.4604414,0.0000000,0.5370000,0.0000000,7.7000000,-0.5619241,0.2539000,1.8623754,-0.0000123,-0.0000411,0.0008050,-0.0009415,-0.0031369,0.0200865,0.0000429,0.0000000,0.0008050
1525580574.4687748,0.0000000,0.5370000,0.0000000,7.7000000,-0.5619237,0.2539000,1.8623828,-0.0000202,-0.0000674,0.0009542,-0.0009074,-0.0030229,0.0151973,0.0000703,0.0000000,0.0009542
1525580574.4771082,0.0000000,0.5370000,0.0000000,7.7000000,-0.5619230,0.2539000,1.8623913,-0.0000274,-0.0000914,0.0010583,-0.0007851,-0.0026155,0.0095359,0.0000955,0.0000000,0.0010583
1525580574.4854417,0.0000000,0.5370000,0.0000000,7.7000000,-0.5619221,0.2539000,1.8624005,-0.0000333,-0.0001110,0.0011132,-0.0005902,-0.0019659,0.0035762,0.0001159,0.0000000,0.0011132
1525580574.4937751,0.0000000,0.5370000,0.0000000,7.7000000,-0.5619210,0.2539000,1.8624099,-0.0000373,-0.0001242,0.0011179,-0.0003488,-0.0011615,-0.0023307,0.0001297,0.0000000,0.0011179
1525580574.5021086,0.0000000,0.5370000,0.0000000,7.7000000,-0.5619199,0.2539000,1.8624191,-0.0000391,-0.0001303,0.0010743,-0.0000873,-0.0002905,-0.0078584,0.0001361,0.0000000,0.0010743
1525580574.5104420,0.0000000,0.5370000,0.0000000,7.7000000,-0.5619188,0.2539000,1.8624278,-0.0000387,-0.0001290,0.0009869,0.0001642,0.0005473,-0.0127952,0.0001347,0.0000000,0.0009869
1525580574.5187755,0.0000000,0.5370000,0.0000000,7.7000000,-0.5619177,0.2539000,1.8624356,-0.0000364,-0.0001212,0.0008611,0.0003803,0.0012673,-0.0170607,0.0001265,0.0000000,0.0008611
1525580574.5271089,0.0000000,0.5370000,0.0000000,7.7000000,-0.5619166,0.2539000,1.8624421,-0.0000324,-0.0001079,0.0007026,0.0005469,0.0018220,-0.0205512,0.0001127,0.0000000,0.0007026
1525580574.5354424,0.0000000,0.5370000,0.0000000,7.7000000,-0.5619158,0.2539000,1.8624473,-0.0000273,-0.0000908,0.0005185,0.0006487,0.0021610,-0.0231616,0.0000948,0.0000000,0.0005185
1525580574.5437758,0.0000000,0.5370000,0.0000000,7.7000000,-0.5619151,0.2539000,1.8624508,-0.0000216,-0.0000719,0.0003166,0.0006844,0.0022799,-0.0248256,0.0000751,0.0000000,0.0003166
1525580574.5521092,0.0000000,0.5370000,0.0000000,7.7000000,-0.5619145,0.2539000,1.8624525,-0.0000159,-0.0000528,0.0001048,0.0006626,0.0022070,-0.0254342,0.0000552,0.0000000,0.0001048
1525580574.5604427,0.0000000,0.5370000,0.0000000,7.7000000,-0.5619141,0.2539000,1.8624525,-0.0000105,-0.0000351,-0.0001073,0.0005939,0.0019782,-0.0249013,0.0000367,0.0000000,-0.0001073
1525580574.5687761,0.0000000,0.5370000,0.0000000,7.7000000,-0.5619139,0.2539000,1.8624508,-0.0000060,-0.0000199,-0.0003102,0.0004974,0.0016566,-0.0232675,0.0000207,0.0000000,-0.0003102
1525580574.5771096,0.0000000,0.5370000,0.0000000,7.7000000,-0.5619138,0.2539000,1.8624474,-0.0000023,-0.0000075,-0.0004951,0.0003915,0.0013040,-0.0205959,0.0000078,0.0000000,-0.0004951
1525580574.5854430,0.0000000,0.5370000,0.0000000,7.7000000,-0.5619138,0.2539000,1.8624425,0.0000006,0.0000019,-0.0006535,0.0002935,0.0009776,-0.0170350,-0.0000020,0.0000000,-0.0006535
1525580574.5937765,0.0000000,0.5370000,0.0000000,7.7000000,-0.5619138,0.2539000,1.8624365,0.0000026,0.0000088,-0.0007790,0.0002174,0.0007243,-0.0128892,-0.0000092,0.0000000,-0.0007790
1525580574.6021099,0.0000000,0.5370000,0.0000000,7.7000000,-0.5619139,0.2539000,1.8624295,0.0000042,0.0000139,-0.0008683,0.0001737,0.0005787,-0.0084181,-0.0000146,0.0000000,-0.0008683
1525580574.6104434,0.0000000,0.5370000,0.0000000,7.7000000,-0.5619141,0.2539000,1.8624220,0.0000055,0.0000184,-0.0009193,0.0001646,0.0005485,-0.0038834,-0.0000192,0.0000000,-0.0009193
1525580574.6187768,0.0000000,0.5370000,0.0000000,7.7000000,-0.5619143,0.2539000,1.8624142,0.0000069,0.0000231,-0.0009330,0.0001859,0.0006192,0.0004159,-0.0000241,0.0000000,-0.0009330
1525580574.6271102,0.0000000,0.5370000,0.0000000,7.7000000,-0.5619145,0.2539000,1.8624064,0.0000086,0.0000287,-0.0009124,0.0002350,0.0007829,0.0042910,-0.0000300,0.0000000,-0.0009124
1525580574.6354437,0.0000000,0.5370000,0.0000000,7.7000000,-0.5619148,0.2539000,1.8623990,0.0000108,0.0000361,-0.0008615,0.0002993,0.0009972,0.0076005,-0.0000377,0.0000000,-0.0008615
1525580574.6437771,0.0000000,0.5370000,0.0000000,7.7000000,-0.5619151,0.2539000,1.8623921,0.0000136,0.0000454,-0.0007857,0.0003656,0.0012102,0.0102436,-0.0000474,0.0000000,-0.0007857
1525580574.6521106,0.0000000,0.5370000,0.0000000,7.7000000,-0.5619155,0.2539000,1.8623859,0.0000169,0.0000563,-0.0006908,0.0004257,0.0013799,0.0121948,-0.0000588,0.0000000,-0.0006908
1525580574.6604440,0.0000000,0.5370000,0.0000000,7.7000000,-0.5619161,0.2539000,1.8623806,0.0000207,0.0000684,-0.0005825,0.0004471,0.0014280,0.0134963,-0.0000714,0.0000002,-0.0005825
1525580574.6687775,0.0000000,0.5370000,0.0000000,7.7000000,-0.5619167,0.2539000,1.8623762,0.0000244,0.0000801,-0.0004659,0.0004056,0.0012783,0.0142196,-0.0000837,0.0000003,-0.0004659
1525580574.6771109,0.0000000,0.5370000,0.0000000,7.7000000,-0.5619175,0.2539000,1.8623728,0.0000275,0.0000897,-0.0003455,0.0003112,0.0009008,0.0144448,-0.0000938,0.0000005,-0.0003455
1525580574.6854444,0.0000000,0.5370000,0.0000000,7.7969228,-0.5619183,0.2539000,1.8623704,0.0000296,0.0000951,-0.0002251,0.0001661,0.0003006,0.0142838,-0.0000996,0.0000010,-0.0002251
