# Interpolated data from file: /Users/coreywalsh/remote/racecar/bags/5_5_18_exported/donuts.bag.csv
# Old header: # Exported rosbag data from bag: 5_5_18/donuts.bag
# # Start rostime: 1525580308.61909
# # End rostime: 1525580368.54661
# # Message count: 25082 filtered, 26758 total
# 
# # time,command_rpm,command_servo,sensed_rpm,sensed_voltage,mocap_x,mocap_y,mocap_theta
# 
# time,command_rpm,command_servo,sensed_rpm,sensed_voltage,x,y,theta,dx,dy,dtheta,ddx,ddy,ddtheta,world_dx,world_dy,world_dtheta
1525580308.8328300,0.0000000,0.5370000,0.0000000,7.8000000,-2.8461000,0.1898990,-0.2651511,0.0000053,-0.0000197,0.0002688,0.0003330,-0.0012262,0.0148000,0.0000000,-0.0000204,0.0002688
1525580308.8411634,0.0000000,0.5370000,0.0000000,7.8000000,-2.8461000,0.1898989,-0.2651488,0.0000081,-0.0000299,0.0003921,0.0005096,-0.0018766,0.0209399,0.0000000,-0.0000310,0.0003921
1525580308.8494968,0.0000000,0.5370000,0.0000000,7.8000000,-2.8461000,0.1898985,-0.2651445,0.0000138,-0.0000510,0.0006177,0.0007063,-0.0026012,0.0241813,0.0000000,-0.0000528,0.0006177
1525580308.8578303,0.0000000,0.5370000,0.0000000,7.8000000,-2.8461000,0.1898980,-0.2651385,0.0000199,-0.0000733,0.0007951,0.0007408,-0.0027285,0.0178141,0.0000000,-0.0000759,0.0007951
1525580308.8661637,0.0000000,0.5370000,0.0000000,7.8000000,-2.8461000,0.1898973,-0.2651313,0.0000262,-0.0000964,0.0009147,0.0007516,-0.0027684,0.0107875,0.0000000,-0.0000999,0.0009147
1525580308.8744972,0.0000000,0.5370000,0.0000000,7.8000000,-2.8461000,0.1898963,-0.2651233,0.0000324,-0.0001194,0.0009749,0.0007182,-0.0026456,0.0040886,0.0000000,-0.0001237,0.0009749
1525580308.8828306,0.0000000,0.5370000,0.0000000,7.8000000,-2.8461000,0.1898952,-0.2651150,0.0000382,-0.0001405,0.0009828,0.0006210,-0.0022879,-0.0013993,0.0000000,-0.0001456,0.0009828
1525580308.8911641,0.0000000,0.5370000,0.0000000,7.8000000,-2.8461000,0.1898939,-0.2651069,0.0000428,-0.0001575,0.0009516,0.0004416,-0.0016273,-0.0050155,0.0000000,-0.0001632,0.0009516
1525580308.8994975,0.0000000,0.5370000,0.0000000,7.8000000,-2.8461000,0.1898925,-0.2650992,0.0000455,-0.0001676,0.0008992,0.0001827,-0.0006736,-0.0064027,0.0000000,-0.0001737,0.0008992
1525580308.9078310,0.0000000,0.5370000,0.0000000,7.8000000,-2.8461000,0.1898910,-0.2650919,0.0000458,-0.0001688,0.0008449,-0.0001399,0.0005148,-0.0056757,0.0000000,-0.0001749,0.0008449
