# Interpolated data from file: /Users/coreywalsh/remote/racecar/bags/5_5_18_exported/longitudinal_force_data_2.bag.csv
# Old header: # Exported rosbag data from bag: ./5_5_18/longitudinal_force_data_2.bag
# # Start rostime: 1525545726.32838
# # End rostime: 1525545978.12993
# # Message count: 80517 filtered, 90138 total
# 
# # time,command_rpm,command_servo,sensed_rpm,sensed_voltage,mocap_x,mocap_y,mocap_theta
# 
# time,command_rpm,command_servo,sensed_rpm,sensed_voltage,x,y,theta,dx,dy,dtheta,ddx,ddy,ddtheta,world_dx,world_dy,world_dtheta
1525545765.0371499,-12051.3633000,0.5370000,-14121.4147403,7.9000000,0.6698832,4.9370271,1.5028208,-0.3244214,-0.0026317,-0.0090242,-18.8405743,-0.1582622,-0.5306198,-0.0194101,-0.3238509,-0.0090242
1525545765.0454834,-11625.4483873,0.5370000,-13970.9708906,7.9000000,0.6697214,4.9343284,1.5027456,-0.4814262,-0.0039505,-0.0134460,-27.6656418,-0.2375385,-0.7849107,-0.0287947,-0.4805805,-0.0134460
1525545765.0538168,-10719.7434286,0.5370000,-13779.5583271,7.9000000,0.6694033,4.9290174,1.5025967,-0.7855154,-0.0065906,-0.0221061,-35.0716018,-0.3167566,-1.0104578,-0.0469550,-0.7841385,-0.0221061
1525545765.0621502,-9721.3281800,0.5370000,-13523.9006002,7.9000000,0.6689388,4.9212594,1.5023772,-1.0659529,-0.0092298,-0.0302870,-31.8470383,-0.3154630,-0.9395152,-0.0636665,-1.0640899,-0.0302870
1525545765.0704837,-8099.2108327,0.5370000,-13289.3820457,7.9000000,0.6683422,4.9112826,1.5020919,-1.3162994,-0.0118484,-0.0377646,-27.9981218,-0.3109728,-0.8408695,-0.0785440,-1.3140074,-0.0377646
1525545765.0788171,-7816.0219665,0.5370000,-13040.5627580,7.9690432,0.6676298,4.8993593,1.5017478,-1.5325883,-0.0144127,-0.0443015,-23.8247980,-0.3018719,-0.7129595,-0.0913606,-1.5299306,-0.0443015
1525545765.0871506,-7718.0527000,0.5370000,-12772.8513683,8.0000000,0.6668195,4.8857838,1.5013536,-1.7133794,-0.0168796,-0.0496473,-19.6153868,-0.2872848,-0.5562984,-0.1020473,-1.7104210,-0.0496473
1525545765.0954840,-7718.0527000,0.5370000,-12517.6586775,8.0000000,0.6659290,4.8708522,1.5009203,-1.8595114,-0.0192008,-0.0535731,-15.6150298,-0.2670151,-0.3750289,-0.1106757,-1.8563141,-0.0535731
1525545765.1038175,-7466.5130275,0.5370000,-12309.2682802,8.0000000,0.6649749,4.8548452,1.5004607,-1.9736299,-0.0213298,-0.0558978,-12.0055684,-0.2417572,-0.1766589,-0.1174250,-1.9702490,-0.0558978
1525545765.1121509,-6856.2959013,0.5370000,-12137.7616296,8.0000000,0.6639719,4.8380148,1.4999887,-2.0596042,-0.0232300,-0.0565175,-8.8979311,-0.2128639,0.0276452,-0.1225421,-2.0560867,-0.0565175
1525545765.1204844,-6467.0316314,0.5370000,-11942.5788094,8.0000000,0.6629325,4.8205771,1.4995187,-2.1219287,-0.0248775,-0.0554370,-6.3356416,-0.1820957,0.2238205,-0.1263036,-2.1183125,-0.0554370
1525545765.1288178,-6419.5889000,0.5370000,-11741.1635037,8.0000000,0.6618668,4.8027095,1.4990647,-2.1651982,-0.0262650,-0.0527871,-4.3069161,-0.1514303,0.3972868,-0.1289826,-2.1615126,-0.0527871
1525545765.1371512,-6149.0840635,0.5370000,-11559.1909961,8.0000000,0.6607828,4.7845519,1.4986389,-2.1937107,-0.0274014,-0.0488156,-2.7609591,-0.1225660,0.5352123,-0.1308250,-2.1899776,-0.0488156
1525545765.1454847,-5923.8545000,0.5370000,-11387.9807677,8.0000000,0.6596864,4.7662099,1.4982511,-2.2112142,-0.0283077,-0.0438669,-1.6246669,-0.0967342,0.6274022,-0.1320390,-2.2074499,-0.0438669
1525545765.1538181,-5923.8545000,0.5370000,-11211.4249415,8.0000000,0.6585822,4.7477610,1.4979078,-2.2207884,-0.0290136,-0.0383589,-0.8171979,-0.0746875,0.6687673,-0.1327901,-2.2170047,-0.0383589
1525545765.1621516,-5923.8545000,0.5370000,-11040.1665157,8.0000000,0.6574733,4.7292598,1.4976118,-2.2248341,-0.0295525,-0.0327208,-0.2609421,-0.0566605,0.6607511,-0.1332047,-2.2210396,-0.0327208
1525545765.1704850,-5923.8545000,0.5370000,-10888.7913030,8.0000000,0.6563621,4.7107437,1.4973625,-2.2251375,-0.0299580,-0.0273464,0.1116095,-0.0423849,0.6095061,-0.1333764,-2.2213386,-0.0273464
1525545765.1788185,-5923.8545000,0.5370000,-10750.6023283,8.0659022,0.6552503,4.6922375,1.4971560,-2.2229740,-0.0302589,-0.0225623,0.3546030,-0.0312720,0.5251568,-0.1333756,-2.2191755,-0.0225623
1525545765.1871519,-5923.8545000,0.5370000,-10617.7010397,8.0520132,0.6541392,4.6737575,1.4969864,-2.2192274,-0.0304792,-0.0185937,0.5082541,-0.0227120,0.4204628,-0.1332561,-2.2154327,-0.0185937
1525545765.1954854,-5923.8545000,0.5370000,-10492.3110467,8.0000000,0.6530294,4.6553137,1.4968461,-2.2145031,-0.0306375,-0.0155546,0.6001862,-0.0160573,0.3086163,-0.1330599,-2.2107143,-0.0155546
1525545765.2038188,-5923.8545000,0.5370000,-10378.6913861,8.0000000,0.6519215,4.6369122,1.4967272,-2.2092243,-0.0307468,-0.0134501,0.6476031,-0.0107000,0.2009296,-0.1328233,-2.2054422,-0.0134501
1525545765.2121522,-5923.8545000,0.5370000,-10282.0000000,8.0000000,0.6508157,4.6185563,1.4966220,-2.2037097,-0.0308158,-0.0122058,0.6604143,-0.0062496,0.1057908,-0.1325778,-2.1999339,-0.0122058
1525545765.2204857,-5923.8545000,0.5370000,-10282.0000000,8.0000000,0.6497119,4.6002466,1.4965238,-2.1982174,-0.0308509,-0.0116870,0.6425303,-0.0025312,0.0288966,-0.1323513,-2.1944463,-0.0116870
1525545765.2288191,-5923.8545000,0.5370000,-10282.0000000,8.0000000,0.6486098,4.5819822,1.4964272,-2.1930009,-0.0308580,-0.0117242,0.5921292,0.0004053,-0.0279282,-0.1321686,-2.1892319,-0.0117242
1525545765.2371526,-5923.8545000,0.5370000,-10282.0000000,8.0000000,0.6475090,4.5637595,1.4963284,-2.1883486,-0.0308442,-0.0121524,0.5070658,0.0023576,-0.0652843,-0.1320526,-2.1845785,-0.0121524
1525545765.2454860,-7703.3416196,0.5370000,-10282.0000000,8.0000000,0.6464089,4.5455725,1.4962247,-2.1845498,-0.0308187,-0.0128123,0.3880810,0.0030725,-0.0849972,-0.1320215,-2.1807746,-0.0128123
