# Interpolated data from file: data/4_30_18_exported/open_loop_trajectories_fresh_nimh_2.bag.csv
# Old header: # Exported rosbag data from bag: 4_30_18/open_loop_trajectories_fresh_nimh_2.bag
# # Start rostime: 1525075814.97651
# # End rostime: 1525075896.65140
# # Message count: 25207 filtered, 34981 total
# 
# # time,command_rpm,command_servo,sensed_rpm,sensed_voltage,mocap_x,mocap_y,mocap_theta
# 
# time,command_rpm,command_servo,sensed_rpm,sensed_voltage,x,y,theta,dx,dy,dtheta,ddx,ddy,ddtheta,world_dx,world_dy,world_dtheta
1525075815.1218700,0.0000000,0.5200000,0.0000000,9.5000000,0.5589771,-1.5564000,3.0526239,-0.0000849,0.0000076,-0.0002123,-0.0048665,0.0004341,-0.0117786,0.0000853,0.0000000,-0.0002123
1525075815.1302035,0.0000000,0.5200000,0.0000000,9.5000000,0.5589779,-1.5564000,3.0526221,-0.0001255,0.0000112,-0.0003105,-0.0070736,0.0006311,-0.0167688,0.0001260,0.0000000,-0.0003105
1525075815.1385369,0.0000000,0.5200000,0.0000000,9.5000000,0.5589792,-1.5564000,3.0526187,-0.0002028,0.0000181,-0.0004918,-0.0087248,0.0007784,-0.0196084,0.0002036,0.0000000,-0.0004918
1525075815.1468704,0.0000000,0.5200000,0.0000000,9.5000000,0.5589812,-1.5564000,3.0526139,-0.0002709,0.0000242,-0.0006373,-0.0074188,0.0006620,-0.0147485,0.0002720,0.0000000,-0.0006373
1525075815.1552038,0.0000000,0.5200000,0.0000000,9.5000000,0.5589838,-1.5564000,3.0526081,-0.0003265,0.0000291,-0.0007376,-0.0057551,0.0005137,-0.0090189,0.0003278,0.0000000,-0.0007376
1525075815.1635373,0.0000000,0.5200000,0.0000000,9.5000000,0.5589867,-1.5564000,3.0526016,-0.0003668,0.0000327,-0.0007876,-0.0038056,0.0003398,-0.0029039,0.0003683,0.0000000,-0.0007876
1525075815.1718707,0.0000000,0.5200000,0.0000000,9.5000000,0.5589899,-1.5564000,3.0525949,-0.0003899,0.0000348,-0.0007860,-0.0016730,0.0001496,0.0031003,0.0003915,0.0000000,-0.0007860
1525075815.1802042,0.0000000,0.5200000,0.0000000,9.5000000,0.5589932,-1.5564000,3.0525885,-0.0003947,0.0000352,-0.0007359,0.0005165,-0.0000458,0.0085578,0.0003963,0.0000000,-0.0007359
1525075815.1885376,0.0000000,0.5200000,0.0000000,9.5000000,0.5589965,-1.5564000,3.0525827,-0.0003813,0.0000340,-0.0006434,0.0026356,-0.0002350,0.0131445,0.0003828,0.0000000,-0.0006434
1525075815.1968710,0.0000000,0.5200000,0.0000000,9.5000000,0.5589996,-1.5564000,3.0525778,-0.0003508,0.0000313,-0.0005169,0.0045431,-0.0004053,0.0165744,0.0003522,0.0000000,-0.0005169
1525075815.2052045,0.0000000,0.5200000,0.0000000,9.5000000,0.5590024,-1.5564000,3.0525741,-0.0003056,0.0000273,-0.0003672,0.0060954,-0.0005439,0.0186867,0.0003068,0.0000000,-0.0003672
1525075815.2135379,0.0000000,0.5200000,0.0000000,9.4880174,0.5590047,-1.5564000,3.0525717,-0.0002492,0.0000222,-0.0002054,0.0071824,-0.0006410,0.0194899,0.0002502,0.0000000,-0.0002054
1525075815.2218714,0.0000000,0.5200000,0.0000000,9.4053432,0.5590066,-1.5564000,3.0525706,-0.0001859,0.0000166,-0.0000423,0.0077332,-0.0006902,0.0190624,0.0001866,0.0000000,-0.0000423
1525075815.2302048,0.0000000,0.5200000,0.0000000,9.4758245,0.5590078,-1.5564000,3.0525710,-0.0001203,0.0000107,0.0001123,0.0077285,-0.0006898,0.0175252,0.0001208,0.0000000,0.0001123
1525075815.2385383,0.0000000,0.5200000,0.0000000,9.5000000,0.5590086,-1.5564000,3.0525725,-0.0000571,0.0000051,0.0002498,0.0072162,-0.0006441,0.0150977,0.0000573,0.0000000,0.0002498
1525075815.2468717,0.0000000,0.5200000,0.0000000,9.5000000,0.5590088,-1.5564000,3.0525751,-0.0000000,0.0000000,0.0003639,0.0062921,-0.0005616,0.0120782,0.0000000,0.0000000,0.0003639
1525075815.2552052,0.0000000,0.5200000,0.0000000,9.5000000,0.5590086,-1.5564000,3.0525786,0.0000478,-0.0000043,0.0004511,0.0050704,-0.0004525,0.0087203,-0.0000480,0.0000000,0.0004511
1525075815.2635386,0.0000000,0.5200000,0.0000000,9.5000000,0.5590080,-1.5564000,3.0525826,0.0000845,-0.0000075,0.0005093,0.0037004,-0.0003302,0.0052859,-0.0000848,0.0000000,0.0005093
1525075815.2718720,0.0000000,0.5200000,0.0000000,9.5000000,0.5590072,-1.5564000,3.0525871,0.0001095,-0.0000098,0.0005392,0.0023466,-0.0002094,0.0020807,-0.0001099,0.0000000,0.0005392
1525075815.2802055,0.0000000,0.5200000,0.0000000,9.5000000,0.5590062,-1.5564000,3.0525916,0.0001236,-0.0000110,0.0005439,0.0011467,-0.0001023,-0.0007017,-0.0001241,0.0000000,0.0005439
1525075815.2885389,0.0000000,0.5200000,0.0000000,9.5000000,0.5590051,-1.5564000,3.0525961,0.0001286,-0.0000115,0.0005275,0.0002103,-0.0000187,-0.0029733,-0.0001291,0.0000000,0.0005275
1525075815.2968724,0.0000000,0.5200000,0.0000000,9.5000000,0.5590040,-1.5564000,3.0526004,0.0001271,-0.0000113,0.0004944,-0.0004167,0.0000372,-0.0046830,-0.0001276,0.0000000,0.0004944
1525075815.3052058,0.0000000,0.5200000,0.0000000,9.5000000,0.5590030,-1.5564000,3.0526044,0.0001216,-0.0000109,0.0004494,-0.0007459,0.0000666,-0.0058265,-0.0001221,0.0000000,0.0004494
1525075815.3135393,0.0000000,0.5200000,0.0000000,9.5000000,0.5590020,-1.5564000,3.0526079,0.0001147,-0.0000102,0.0003973,-0.0007878,0.0000703,-0.0064023,-0.0001151,0.0000000,0.0003973
1525075815.3218727,0.0000000,0.5200000,0.0000000,9.5000000,0.5590010,-1.5564000,3.0526110,0.0001085,-0.0000097,0.0003427,-0.0006046,0.0000540,-0.0064764,-0.0001089,0.0000000,0.0003427
1525075815.3302062,0.0000000,0.5200000,0.0000000,9.5000000,0.5590002,-1.5564000,3.0526136,0.0001046,-0.0000093,0.0002893,-0.0003253,0.0000290,-0.0061938,-0.0001050,0.0000000,0.0002893
1525075815.3385396,0.0000000,0.5200000,0.0000000,9.5000000,0.5589993,-1.5564000,3.0526158,0.0001031,-0.0000092,0.0002395,-0.0000570,0.0000051,-0.0056821,-0.0001035,0.0000000,0.0002395
1525075815.3468730,0.0000000,0.5200000,0.0000000,9.5000000,0.5589984,-1.5564000,3.0526176,0.0001036,-0.0000092,0.0001946,0.0001152,-0.0000103,-0.0050955,-0.0001040,0.0000000,0.0001946
1525075815.3552065,0.0000000,0.5200000,0.0000000,9.5000000,0.5589976,-1.5564000,3.0526191,0.0001050,-0.0000094,0.0001546,0.0001137,-0.0000101,-0.0045832,-0.0001054,0.0000000,0.0001546
1525075815.3635399,0.0000000,0.5200000,0.0000000,9.5000000,0.5589967,-1.5564000,3.0526202,0.0001055,-0.0000094,0.0001182,-0.0001005,0.0000090,-0.0042530,-0.0001059,0.0000000,0.0001182
1525075815.3718734,0.0000000,0.5200000,0.0000000,9.5000000,0.5589958,-1.5564000,3.0526210,0.0001033,-0.0000092,0.0000837,-0.0005313,0.0000474,-0.0042447,-0.0001037,0.0000000,0.0000837
1525075815.3802068,0.0000000,0.5200000,0.0000000,9.5000000,0.5589949,-1.5564000,3.0526216,0.0000967,-0.0000086,0.0000475,-0.0011355,0.0001013,-0.0046048,-0.0000971,0.0000000,0.0000475
1525075815.3885403,0.0000000,0.5200000,0.0000000,9.5000000,0.5589942,-1.5564000,3.0526218,0.0000844,-0.0000075,0.0000069,-0.0018176,0.0001621,-0.0052113,-0.0000847,0.0000000,0.0000069
1525075815.3968737,0.0000000,0.5200000,0.0000000,9.5000000,0.5589935,-1.5564000,3.0526217,0.0000664,-0.0000059,-0.0000394,-0.0024651,0.0002238,-0.0059292,-0.0000666,0.0000000,-0.0000394
1525075815.4052072,0.0000000,0.5200000,0.0000000,9.5326069,0.5589931,-1.5564000,3.0526212,0.0000433,-0.0000038,-0.0000919,-0.0029669,0.0002775,-0.0066132,-0.0000435,-0.0000001,-0.0000919
1525075815.4135406,0.0000000,0.5200000,0.0000000,9.5871401,0.5589928,-1.5564000,3.0526202,0.0000169,-0.0000013,-0.0001496,-0.0032190,0.0003050,-0.0070124,-0.0000170,-0.0000002,-0.0001496
1525075815.4218740,0.0000000,0.5200000,0.0000000,9.5027921,0.5589928,-1.5564000,3.0526187,-0.0000103,0.0000013,-0.0002088,-0.0031554,0.0003052,-0.0068617,0.0000104,-0.0000004,-0.0002088
1525075815.4302075,0.0000000,0.5200000,0.0000000,9.5000000,0.5589930,-1.5564000,3.0526167,-0.0000357,0.0000038,-0.0002639,-0.0027680,0.0002920,-0.0060172,0.0000359,-0.0000006,-0.0002639
1525075815.4385409,0.0000000,0.5200000,0.0000000,9.5000000,0.5589934,-1.5564000,3.0526143,-0.0000565,0.0000061,-0.0003091,-0.0020798,0.0002664,-0.0044010,0.0000568,-0.0000011,-0.0003091
1525075815.4468744,0.0000000,0.5200000,0.0000000,9.5000000,0.5589939,-1.5564000,3.0526115,-0.0000703,0.0000082,-0.0003373,-0.0011506,0.0002356,-0.0019982,0.0000708,-0.0000020,-0.0003373
