# Interpolated data from file: data/4_30_18_exported/open_loop_trajectories_fresh_nimh.bag.csv
# Old header: # Exported rosbag data from bag: 4_30_18/open_loop_trajectories_fresh_nimh.bag
# # Start rostime: 1525075680.87561
# # End rostime: 1525075748.14953
# # Message count: 20890 filtered, 28071 total
# 
# # time,command_rpm,command_servo,sensed_rpm,sensed_voltage,mocap_x,mocap_y,mocap_theta
# 
# time,command_rpm,command_servo,sensed_rpm,sensed_voltage,x,y,theta,dx,dy,dtheta,ddx,ddy,ddtheta,world_dx,world_dy,world_dtheta
1525075681.0118101,0.0000000,0.5200000,0.0000000,9.5000000,0.0699259,2.5261447,-3.0562508,0.0000634,-0.0000170,0.0001107,0.0035379,-0.0006382,0.0065873,-0.0000617,0.0000223,0.0001107
1525075681.0201435,0.0000000,0.5200000,0.0000000,9.5000000,0.0699253,2.5261449,-3.0562498,0.0000929,-0.0000223,0.0001656,0.0050615,-0.0006292,0.0097932,-0.0000907,0.0000301,0.0001656
1525075681.0284770,0.0000000,0.5200000,0.0000000,9.5000000,0.0699243,2.5261452,-3.0562480,0.0001478,-0.0000275,0.0002739,0.0060084,0.0000718,0.0126971,-0.0001449,0.0000400,0.0002739
1525075681.0368104,0.0000000,0.5200000,0.0000000,9.5000000,0.0699229,2.5261456,-3.0562453,0.0001930,-0.0000211,0.0003772,0.0047178,0.0014315,0.0117902,-0.0001905,0.0000375,0.0003772
1525075681.0451438,0.0000000,0.5200000,0.0000000,9.5000000,0.0699212,2.5261458,-3.0562417,0.0002264,-0.0000036,0.0004704,0.0032124,0.0025315,0.0101501,-0.0002253,0.0000229,0.0004704
1525075681.0534773,0.0000000,0.5200000,0.0000000,9.5000000,0.0699192,2.5261459,-3.0562374,0.0002466,0.0000211,0.0005464,0.0016199,0.0030104,0.0075991,-0.0002475,-0.0000000,0.0005464
1525075681.0618107,0.0000000,0.5200000,0.0000000,9.5000000,0.0699170,2.5261458,-3.0562326,0.0002534,0.0000466,0.0005971,0.0000705,0.0026755,0.0041563,-0.0002564,-0.0000248,0.0005971
1525075681.0701442,0.0000000,0.5200000,0.0000000,9.5000000,0.0699149,2.5261455,-3.0562275,0.0002477,0.0000657,0.0006157,-0.0013500,0.0015153,0.0000173,-0.0002524,-0.0000443,0.0006157
1525075681.0784776,0.0000000,0.5200000,0.0000000,9.5000000,0.0699128,2.5261451,-3.0562223,0.0002309,0.0000718,0.0005974,-0.0026049,-0.0002872,-0.0044605,-0.0002362,-0.0000519,0.0005974
1525075681.0868111,0.0000000,0.5200000,0.0000000,9.5000000,0.0699110,2.5261447,-3.0562175,0.0002043,0.0000609,0.0005413,-0.0036676,-0.0023527,-0.0087823,-0.0002088,-0.0000433,0.0005413
