# Interpolated data from file: raw_data/random_driving_3.bag.csv
# Old header: # Exported rosbag data from bag: 4_20_18/random_driving_3.bag
# # Start rostime: 1524255206.68345
# # End rostime: 1524255340.69880
# # Message count: 41221 filtered, 45099 total
# 
# # time,command_rpm,command_servo,sensed_rpm,sensed_voltage,mocap_x,mocap_y,mocap_theta
# 
# time,command_rpm,command_servo,sensed_rpm,sensed_voltage,x,y,theta,dx,dy,dtheta,ddx,ddy,ddtheta,world_dx,world_dy,world_dtheta
1524255206.8312199,0.0000000,0.5200000,0.0000000,8.6000000,-0.2974021,-2.0041836,1.5060253,-0.0000200,-0.0000281,0.0000862,-0.0010709,-0.0016910,0.0041017,-0.0000293,0.0000181,0.0000862
1524255206.8395534,0.0000000,0.5200000,0.0000000,8.6000000,-0.2974023,-2.0041834,1.5060260,-0.0000289,-0.0000422,0.0001203,-0.0014864,-0.0025352,0.0051382,-0.0000439,0.0000261,0.0001203
1524255206.8478868,0.0000000,0.5200000,0.0000000,8.6000000,-0.2974028,-2.0041832,1.5060273,-0.0000447,-0.0000703,0.0001718,-0.0015791,-0.0033705,0.0038202,-0.0000731,0.0000401,0.0001718
1524255206.8562202,0.0000000,0.5200000,0.0000000,8.6000000,-0.2974035,-2.0041828,1.5060288,-0.0000552,-0.0000983,0.0001840,-0.0007418,-0.0033404,-0.0014291,-0.0001017,0.0000487,0.0001840
1524255206.8645537,0.0000000,0.5200000,0.0000000,8.6000000,-0.2974045,-2.0041823,1.5060303,-0.0000571,-0.0001260,0.0001480,0.0004950,-0.0032749,-0.0074028,-0.0001294,0.0000488,0.0001480
1524255206.8728871,0.0000000,0.5200000,0.0000000,8.6000000,-0.2974057,-2.0041820,1.5060313,-0.0000470,-0.0001529,0.0000606,0.0020940,-0.0031348,-0.0133209,-0.0001556,0.0000370,0.0000606
1524255206.8812206,0.0000000,0.5200000,0.0000000,8.6000000,-0.2974071,-2.0041817,1.5060313,-0.0000222,-0.0001782,-0.0000740,0.0038915,-0.0028793,-0.0183972,-0.0001793,0.0000106,-0.0000740
1524255206.8895540,0.0000000,0.5200000,0.0000000,8.6000000,-0.2974087,-2.0041818,1.5060301,0.0000179,-0.0002009,-0.0002460,0.0056381,-0.0024966,-0.0219998,-0.0001993,-0.0000309,-0.0002460
1524255206.8978875,0.0000000,0.5200000,0.0000000,8.6000000,-0.2974104,-2.0041822,1.5060272,0.0000718,-0.0002199,-0.0004407,0.0070529,-0.0019785,-0.0237078,-0.0002147,-0.0000858,-0.0004407
1524255206.9062209,0.0000000,0.5200000,0.0000000,8.6000000,-0.2974123,-2.0041832,1.5060227,0.0001354,-0.0002339,-0.0006411,0.0078488,-0.0012939,-0.0233500,-0.0002246,-0.0001503,-0.0006411
1524255206.9145544,0.0000000,0.5200000,0.0000000,8.6000000,-0.2974142,-2.0041847,1.5060166,0.0002026,-0.0002414,-0.0008299,0.0077915,-0.0004283,-0.0210597,-0.0002278,-0.0002178,-0.0008299
1524255206.9228878,0.0000000,0.5200000,0.0000000,8.6000000,-0.2974160,-2.0041868,1.5060089,0.0002653,-0.0002410,-0.0009921,0.0068268,0.0005896,-0.0171685,-0.0002233,-0.0002803,-0.0009921
1524255206.9312212,0.0000000,0.5200000,0.0000000,8.6000000,-0.2974179,-2.0041894,1.5060000,0.0003164,-0.0002316,-0.0011160,0.0051021,0.0017250,-0.0120640,-0.0002106,-0.0003307,-0.0011160
1524255206.9395547,0.0000000,0.5200000,0.0000000,8.6000000,-0.2974196,-2.0041923,1.5059903,0.0003503,-0.0002123,-0.0011932,0.0029000,0.0029146,-0.0062575,-0.0001891,-0.0003633,-0.0011932
1524255206.9478881,0.0000000,0.5200000,0.0000000,8.6000000,-0.2974210,-2.0041955,1.5059801,0.0003647,-0.0001830,-0.0012203,0.0006022,0.0040466,-0.0002606,-0.0001590,-0.0003758,-0.0012203
1524255206.9562216,0.0000000,0.5200000,0.0000000,8.6000000,-0.2974222,-2.0041986,1.5059700,0.0003604,-0.0001448,-0.0011975,-0.0013734,0.0050042,0.0055983,-0.0001212,-0.0003690,-0.0011975
1524255206.9645550,0.0000000,0.5200000,0.0000000,8.6000000,-0.2974230,-2.0042016,1.5059602,0.0003418,-0.0000996,-0.0011270,-0.0026942,0.0056553,0.0110895,-0.0000773,-0.0003475,-0.0011270
1524255206.9728885,0.0000000,0.5200000,0.0000000,8.6000000,-0.2974235,-2.0042044,1.5059512,0.0003155,-0.0000506,-0.0010127,-0.0032168,0.0058547,0.0159845,-0.0000300,-0.0003181,-0.0010127
1524255206.9812219,0.0000000,0.5200000,0.0000000,8.6000000,-0.2974235,-2.0042069,1.5059433,0.0002882,-0.0000020,-0.0008606,-0.0030041,0.0055245,0.0200673,0.0000167,-0.0002877,-0.0008606
1524255206.9895554,0.0000000,0.5200000,0.0000000,8.6802260,-0.2974232,-2.0042092,1.5059368,0.0002654,0.0000415,-0.0006783,-0.0022995,0.0046672,0.0231223,0.0000586,-0.0002622,-0.0006783
