# Interpolated data from file: /Users/coreywalsh/remote/racecar/bags/5_5_18_exported/random_driving.bag.csv
# Old header: # Exported rosbag data from bag: ./5_5_18/random_driving.bag
# # Start rostime: 1525576924.58950
# # End rostime: 1525577116.72248
# # Message count: 61419 filtered, 67692 total
# 
# # time,command_rpm,command_servo,sensed_rpm,sensed_voltage,mocap_x,mocap_y,mocap_theta
# 
# time,command_rpm,command_servo,sensed_rpm,sensed_voltage,x,y,theta,dx,dy,dtheta,ddx,ddy,ddtheta,world_dx,world_dy,world_dtheta
1525576994.0031700,14788.8965000,0.7837000,15425.2217935,7.8000000,-1.1098528,1.7589879,1.6583243,0.4548576,0.0422262,0.3039067,26.4115518,2.3435268,17.6723608,-0.0818265,0.4494251,0.3039067
1525576994.0115035,14788.8965000,0.7837000,15430.2168632,7.8000000,-1.1105346,1.7627331,1.6608569,0.6749539,0.0617556,0.4511764,38.7785585,3.3405882,25.9735286,-0.1222099,0.6666643,0.4511764
1525576994.0198369,14788.8965000,0.7837000,15437.2864557,7.8000000,-1.1118896,1.7700990,1.6658439,1.1011669,0.0979027,0.7367989,49.1452623,3.9355803,32.9999969,-0.2019666,1.0869053,0.7367989
1525576994.0281703,14788.8965000,0.7837000,15476.0672231,7.8000000,-1.1139007,1.7808482,1.6731369,1.4940416,0.1273486,1.0011764,44.5989984,3.0581929,30.1064471,-0.2793166,1.4732142,1.0011764
1525576994.0365038,14788.8965000,0.7837000,15535.2901657,7.8000000,-1.1165449,1.7946525,1.6825302,1.8444836,0.1488726,1.2385730,39.1709507,2.0969202,26.6595668,-0.3536070,1.8163823,1.2385730
1525576994.0448372,14788.8965000,0.7837000,15586.7120914,7.8000000,-1.1197942,1.8111212,1.6937798,2.1468908,0.1622973,1.4455025,33.2856644,1.1681895,22.9310852,-0.4244384,2.1107658,1.4455025
1525576994.0531707,14788.8965000,0.7837000,15596.4564610,7.8000000,-1.1236188,1.8298320,1.7066219,2.3992446,0.1683424,1.6207578,27.3529162,0.3624577,19.1801469,-0.4916697,2.3543523,1.6207578
1525576994.0615041,14788.8965000,0.7837000,15617.3318999,7.8000000,-1.1279887,1.8503604,1.7207924,2.6027727,0.1683382,1.7651716,21.7226202,-0.2668459,15.6239600,-0.5553915,2.5483924,1.7651716
1525576994.0698376,14788.8965000,0.7837000,15636.7241032,7.8000000,-1.1328754,1.8723052,1.7360415,2.7612883,0.1638950,1.8811571,16.6548109,-0.7040861,12.4188576,-0.6158781,2.6967145,1.8811571
1525576994.0781710,14788.8965000,0.7837000,15652.4011378,7.8000000,-1.1382533,1.8953057,1.7521450,2.8803529,0.1566035,1.9721525,12.3075984,-0.9642707,9.6547897,-0.6735252,2.8048745,1.9721525
1525576994.0865045,14788.8965000,0.7837000,15659.4260113,7.7573989,-1.1441008,1.9190531,1.7689107,2.9664150,0.1478238,2.0420702,8.7421540,-1.0814492,7.3599326,-0.7287847,2.8792955,2.0420702
1525576994.0948379,14788.8965000,0.7837000,15666.3086501,7.7225309,-1.1503997,1.9432939,1.7861795,3.0260555,0.1385793,2.0948181,5.9398760,-1.0969174,5.5130833,-0.7821113,2.9265197,2.0948181
1525576994.1031713,14788.8965000,0.7837000,15688.2616843,7.8000000,-1.1571360,1.9678284,1.8038243,3.0654129,0.1295418,2.1339550,3.8257411,-1.0500795,4.0610931,-0.8339201,2.9526453,2.1339550
1525576994.1115048,14788.8965000,0.7837000,15692.6110199,7.8000000,-1.1642984,1.9925047,1.8217454,3.0898178,0.1210780,2.1625030,2.2928463,-0.9728482,2.9361896,-0.8845597,2.9629695,2.1625030
1525576994.1198382,14788.8965000,0.7864674,15693.0000000,7.8000000,-1.1718786,2.0172112,1.8398660,3.1036270,0.1133277,2.1828915,1.2236336,-0.8874665,2.0699480,-0.9343018,2.9618278,2.1828915
