# Interpolated data from file: data/4_30_18_exported/random_driving_nimh_3.bag.csv
# Old header: # Exported rosbag data from bag: 4_30_18/random_driving_nimh_3.bag
# # Start rostime: 1525076908.26310
# # End rostime: 1525077028.98011
# # Message count: 37471 filtered, 41354 total
# 
# # time,command_rpm,command_servo,sensed_rpm,sensed_voltage,mocap_x,mocap_y,mocap_theta
# 
# time,command_rpm,command_servo,sensed_rpm,sensed_voltage,x,y,theta,dx,dy,dtheta,ddx,ddy,ddtheta,world_dx,world_dy,world_dtheta
1525076908.4809799,0.0000000,0.5200000,0.0000000,8.7000000,2.6407330,0.1843344,-1.2711313,-0.0000385,-0.0000315,-0.0000974,-0.0018848,-0.0015115,-0.0051343,0.0000187,-0.0000461,-0.0000974
1525076908.4893134,0.0000000,0.5200000,0.0000000,8.7000000,2.6407331,0.1843340,-1.2711321,-0.0000542,-0.0000441,-0.0001402,-0.0024586,-0.0019227,-0.0070326,0.0000261,-0.0000648,-0.0001402
1525076908.4976468,0.0000000,0.5200000,0.0000000,8.7000000,2.6407334,0.1843333,-1.2711336,-0.0000795,-0.0000636,-0.0002146,-0.0022217,-0.0015450,-0.0074293,0.0000373,-0.0000947,-0.0002146
1525076908.5059803,0.0000000,0.5200000,0.0000000,8.7000000,2.6407337,0.1843324,-1.2711357,-0.0000913,-0.0000699,-0.0002640,-0.0005733,0.0001525,-0.0042376,0.0000398,-0.0001078,-0.0002640
1525076908.5143137,0.0000000,0.5200000,0.0000000,8.7000000,2.6407341,0.1843315,-1.2711380,-0.0000891,-0.0000610,-0.0002852,0.0009135,0.0019259,-0.0009536,0.0000320,-0.0001031,-0.0002852
1525076908.5226471,0.0000000,0.5200000,0.0000000,8.7000000,2.6407343,0.1843307,-1.2711404,-0.0000760,-0.0000378,-0.0002799,0.0018572,0.0035005,0.0018533,0.0000136,-0.0000838,-0.0002799
1525076908.5309806,0.0000000,0.5200000,0.0000000,8.7000000,2.6407343,0.1843301,-1.2711427,-0.0000581,-0.0000027,-0.0002544,0.0020153,0.0046492,0.0037358,-0.0000146,-0.0000563,-0.0002544
1525076908.5393140,0.0000000,0.5200000,0.0000000,8.7000000,2.6407340,0.1843298,-1.2711447,-0.0000424,0.0000397,-0.0002176,0.0013593,0.0052050,0.0045012,-0.0000505,-0.0000288,-0.0002176
1525076908.5476475,0.0000000,0.5200000,0.0000000,8.7000000,2.6407334,0.1843296,-1.2711463,-0.0000354,0.0000841,-0.0001793,0.0000672,0.0051407,0.0041975,-0.0000908,-0.0000090,-0.0001793
1525076908.5559809,0.0000000,0.5200000,0.0000000,8.7000000,2.6407325,0.1843296,-1.2711477,-0.0000413,0.0001254,-0.0001477,-0.0015496,0.0045197,0.0030911,-0.0001320,-0.0000025,-0.0001477
1525076908.5643144,0.0000000,0.5200000,0.0000000,8.7000000,2.6407312,0.1843296,-1.2711488,-0.0000613,0.0001594,-0.0001278,-0.0030986,0.0034708,0.0016005,-0.0001704,-0.0000115,-0.0001278
1525076908.5726478,0.0000000,0.5200000,0.0000000,8.7000000,2.6407297,0.1843294,-1.2711498,-0.0000930,0.0001833,-0.0001210,-0.0041904,0.0021880,0.0001925,-0.0002025,-0.0000347,-0.0001210
1525076908.5809813,0.0000000,0.5200000,0.0000000,8.7000000,2.6407279,0.1843290,-1.2711508,-0.0001311,0.0001959,-0.0001246,-0.0045681,0.0008663,-0.0007221,-0.0002258,-0.0000674,-0.0001246
1525076908.5893147,0.0000000,0.5200000,0.0000000,8.7000000,2.6407259,0.1843283,-1.2711519,-0.0001691,0.0001977,-0.0001330,-0.0041555,-0.0003744,-0.0009057,-0.0002388,-0.0001032,-0.0001330
1525076908.5976481,0.0000000,0.5200000,0.0000000,8.7000000,2.6407239,0.1843273,-1.2711530,-0.0002004,0.0001896,-0.0001397,-0.0030393,-0.0014734,-0.0003203,-0.0002403,-0.0001355,-0.0001397
1525076908.6059816,0.0000000,0.5200000,0.0000000,8.7000000,2.6407219,0.1843261,-1.2711542,-0.0002198,0.0001731,-0.0001384,-0.0014720,-0.0023957,0.0008921,-0.0002303,-0.0001589,-0.0001384
1525076908.6143150,0.0000000,0.5200000,0.0000000,8.7000000,2.6407200,0.1843247,-1.2711553,-0.0002249,0.0001497,-0.0001248,0.0001894,-0.0031788,0.0024416,-0.0002094,-0.0001707,-0.0001248
1525076908.6226485,0.0000000,0.5200000,0.0000000,8.7000000,2.6407184,0.1843232,-1.2711563,-0.0002166,0.0001202,-0.0000977,0.0015984,-0.0038824,0.0039808,-0.0001787,-0.0001715,-0.0000977
1525076908.6309819,0.0000000,0.5200000,0.0000000,8.7000000,2.6407171,0.1843218,-1.2711570,-0.0001983,0.0000850,-0.0000585,0.0024902,-0.0044878,0.0052055,-0.0001397,-0.0001643,-0.0000585
1525076908.6393154,0.0000000,0.5200000,0.0000000,8.7000000,2.6407161,0.1843205,-1.2711573,-0.0001751,0.0000454,-0.0000109,0.0027472,-0.0049456,0.0059347,-0.0000950,-0.0001539,-0.0000109
1525076908.6476488,0.0000000,0.5200000,0.0000000,8.7000000,2.6407155,0.1843192,-1.2711571,-0.0001525,0.0000026,0.0000404,0.0024361,-0.0051825,0.0060855,-0.0000475,-0.0001449,0.0000404
1525076908.6559823,0.0000000,0.5200000,0.0000000,8.7000000,2.6407153,0.1843181,-1.2711566,-0.0001345,-0.0000410,0.0000905,0.0017513,-0.0050543,0.0056643,-0.0000005,-0.0001406,0.0000905
1525076908.6643157,0.0000000,0.5200000,0.0000000,8.7000000,2.6407155,0.1843169,-1.2711556,-0.0001233,-0.0000817,0.0001348,0.0009604,-0.0044497,0.0048069,0.0000416,-0.0001419,0.0001348
1525076908.6726491,0.0000000,0.5200000,0.0000000,8.7000000,2.6407160,0.1843157,-1.2711543,-0.0001185,-0.0001152,0.0001706,0.0003568,-0.0033336,0.0036757,0.0000751,-0.0001472,0.0001706
1525076908.6809826,0.0000000,0.5200000,0.0000000,8.7000000,2.6407167,0.1843144,-1.2711528,-0.0001173,-0.0001372,0.0001961,0.0001650,-0.0017544,0.0023843,0.0000965,-0.0001526,0.0001961
