# Interpolated data from file: data/4_30_18_exported/random_driving_nimh.bag.csv
# Old header: # Exported rosbag data from bag: 4_30_18/random_driving_nimh.bag
# # Start rostime: 1525076665.56408
# # End rostime: 1525076780.55020
# # Message count: 35675 filtered, 39968 total
# 
# # time,command_rpm,command_servo,sensed_rpm,sensed_voltage,mocap_x,mocap_y,mocap_theta
# 
# time,command_rpm,command_servo,sensed_rpm,sensed_voltage,x,y,theta,dx,dy,dtheta,ddx,ddy,ddtheta,world_dx,world_dy,world_dtheta
1525076665.7892799,0.0000000,0.5200000,0.0000000,8.9000000,-0.9286293,0.8607141,-1.1683826,-0.0000550,0.0000221,-0.0000032,-0.0029829,0.0013375,0.0000507,-0.0000419,-0.0000420,-0.0000032
1525076665.7976134,0.0000000,0.5200000,0.0000000,8.9000000,-0.9286296,0.8607138,-1.1683826,-0.0000799,0.0000332,-0.0000027,-0.0041820,0.0020229,0.0002274,-0.0000619,-0.0000605,-0.0000027
1525076665.8059468,0.0000000,0.5200000,0.0000000,8.9000000,-0.9286303,0.8607131,-1.1683827,-0.0001247,0.0000558,0.0000006,-0.0047046,0.0027451,0.0007759,-0.0001002,-0.0000929,0.0000006
1525076665.8142803,0.0000000,0.5200000,0.0000000,8.9000000,-0.9286313,0.8607122,-1.1683826,-0.0001583,0.0000790,0.0000102,-0.0032195,0.0028126,0.0015034,-0.0001347,-0.0001147,0.0000102
1525076665.8226137,0.0000000,0.5200000,0.0000000,8.9000000,-0.9286326,0.8607112,-1.1683825,-0.0001784,0.0001027,0.0000257,-0.0015762,0.0028396,0.0020632,-0.0001644,-0.0001239,0.0000257
1525076665.8309472,0.0000000,0.5200000,0.0000000,8.9000000,-0.9286340,0.8607101,-1.1683822,-0.0001846,0.0001263,0.0000446,0.0000225,0.0027678,0.0022992,-0.0001885,-0.0001203,0.0000446
1525076665.8392806,0.0000000,0.5200000,0.0000000,8.9000000,-0.9286357,0.8607092,-1.1683817,-0.0001780,0.0001488,0.0000640,0.0014036,0.0025345,0.0021995,-0.0002066,-0.0001055,0.0000640
1525076665.8476140,0.0000000,0.5200000,0.0000000,8.9710509,-0.9286375,0.8607084,-1.1683811,-0.0001612,0.0001686,0.0000812,0.0024126,0.0021053,0.0018594,-0.0002182,-0.0000823,0.0000812
1525076665.8559475,0.0000000,0.5200000,0.0000000,8.9447683,-0.9286393,0.8607078,-1.1683804,-0.0001378,0.0001839,0.0000950,0.0029636,0.0014712,0.0014508,-0.0002232,-0.0000548,0.0000950
1525076665.8642809,0.0000000,0.5200000,0.0000000,8.9000000,-0.9286412,0.8607075,-1.1683796,-0.0001118,0.0001931,0.0001054,0.0030787,0.0006310,0.0011564,-0.0002214,-0.0000272,0.0001054
1525076665.8726144,0.0000000,0.5200000,0.0000000,8.9205420,-0.9286430,0.8607074,-1.1683786,-0.0000865,0.0001944,0.0001143,0.0028371,-0.0003449,0.0010997,-0.0002128,-0.0000034,0.0001143
1525076665.8809478,0.0000000,0.5200000,0.0000000,8.9991277,-0.9286448,0.8607074,-1.1683776,-0.0000645,0.0001873,0.0001238,0.0023594,-0.0013404,0.0012883,-0.0001976,0.0000140,0.0001238
1525076665.8892813,0.0000000,0.5200000,0.0000000,8.9055979,-0.9286463,0.8607076,-1.1683766,-0.0000472,0.0001721,0.0001357,0.0017888,-0.0022382,0.0016134,-0.0001768,0.0000240,0.0001357
1525076665.8976147,0.0000000,0.5200000,0.0000000,8.9000000,-0.9286477,0.8607078,-1.1683754,-0.0000347,0.0001500,0.0001506,0.0012795,-0.0028940,0.0018555,-0.0001516,0.0000269,0.0001506
1525076665.9059482,0.0000000,0.5200000,0.0000000,8.9000000,-0.9286489,0.8607080,-1.1683741,-0.0000258,0.0001239,0.0001667,0.0009972,-0.0031940,0.0017117,-0.0001241,0.0000247,0.0001667
1525076665.9142816,0.0000000,0.5200000,0.0000000,8.9000000,-0.9286498,0.8607082,-1.1683726,-0.0000181,0.0000968,0.0001792,0.0010806,-0.0030932,0.0008674,-0.0000961,0.0000213,0.0001792
1525076665.9226151,0.0000000,0.5200000,0.0000000,8.9000000,-0.9286505,0.8607084,-1.1683711,-0.0000078,0.0000723,0.0001811,0.0015842,-0.0025768,-0.0008261,-0.0000696,0.0000211,0.0001811
1525076665.9309485,0.0000000,0.5200000,0.0000000,8.9000000,-0.9286509,0.8607086,-1.1683696,0.0000083,0.0000539,0.0001654,0.0024770,-0.0016578,-0.0033545,-0.0000463,0.0000288,0.0001654
1525076665.9392819,0.0000000,0.5200000,0.0000000,8.9000000,-0.9286512,0.8607089,-1.1683683,0.0000335,0.0000447,0.0001252,0.0036554,-0.0003881,-0.0066021,-0.0000280,0.0000483,0.0001252
1525076665.9476154,0.0000000,0.5200000,0.0000000,8.9000000,-0.9286514,0.8607094,-1.1683675,0.0000693,0.0000474,0.0000554,0.0049437,0.0011112,-0.0102190,-0.0000165,0.0000823,0.0000554
1525076665.9559488,0.0000000,0.5200000,0.0000000,8.9000000,-0.9286515,0.8607102,-1.1683674,0.0001159,0.0000632,-0.0000451,0.0061504,0.0026707,-0.0137595,-0.0000128,0.0001313,-0.0000451
1525076665.9642823,0.0000000,0.5200000,0.0000000,8.9000000,-0.9286516,0.8607116,-1.1683683,0.0001718,0.0000919,-0.0001740,0.0070409,0.0041287,-0.0167685,-0.0000173,0.0001940,-0.0001740
1525076665.9726157,0.0000000,0.5200000,0.0000000,8.9000000,-0.9286518,0.8607135,-1.1683703,0.0002332,0.0001320,-0.0003246,0.0073499,0.0052915,-0.0186662,-0.0000301,0.0002663,-0.0003246
1525076665.9809492,0.0000000,0.5200000,0.0000000,8.9000000,-0.9286521,0.8607160,-1.1683737,0.0002943,0.0001801,-0.0004851,0.0069359,0.0059390,-0.0189824,-0.0000505,0.0003413,-0.0004851
1525076665.9892826,0.0000000,0.5200000,0.0000000,8.9000000,-0.9286526,0.8607192,-1.1683784,0.0003488,0.0002310,-0.0006409,0.0057352,0.0058833,-0.0174221,-0.0000759,0.0004114,-0.0006409
1525076665.9976161,0.0000000,0.5200000,0.0000000,8.9000000,-0.9286534,0.8607229,-1.1683843,0.0003899,0.0002781,-0.0007754,0.0037141,0.0050365,-0.0138961,-0.0001032,0.0004676,-0.0007754
1525076666.0059495,0.0000000,0.5200000,0.0000000,8.9000000,-0.9286544,0.8607270,-1.1683913,0.0004107,0.0003149,-0.0008726,0.0009811,0.0034080,-0.0085727,-0.0001289,0.0005012,-0.0008726
1525076666.0142829,0.0000000,0.5200000,0.0000000,8.9000000,-0.9286555,0.8607312,-1.1683989,0.0004062,0.0003349,-0.0009183,-0.0022405,0.0010825,-0.0018133,-0.0001491,0.0005049,-0.0009183
1525076666.0226164,0.0000000,0.5200000,0.0000000,8.9000000,-0.9286568,0.8607354,-1.1684066,0.0003734,0.0003330,-0.0009028,-0.0056804,-0.0017118,0.0057599,-0.0001602,0.0004739,-0.0009028
1525076666.0309498,0.0000000,0.5200000,0.0000000,8.9000000,-0.9286582,0.8607391,-1.1684139,0.0003115,0.0003064,-0.0008223,-0.0090246,-0.0046359,0.0134101,-0.0001599,0.0004067,-0.0008223
1525076666.0392833,0.0000000,0.5200000,0.0000000,8.9000000,-0.9286595,0.8607422,-1.1684203,0.0002229,0.0002557,-0.0006793,-0.0119376,-0.0073326,0.0203215,-0.0001480,0.0003053,-0.0006793
1525076666.0476167,0.0000000,0.5200000,0.0000000,8.9000000,-0.9286607,0.8607442,-1.1684253,0.0001126,0.0001842,-0.0004836,-0.0141061,-0.0094754,0.0256863,-0.0001254,0.0001757,-0.0004836
1525076666.0559502,0.0000000,0.5200000,0.0000000,8.9000000,-0.9286616,0.8607451,-1.1684284,-0.0000122,0.0000978,-0.0002512,-0.0152810,-0.0108144,0.0289304,-0.0000947,0.0000271,-0.0002512
1525076666.0642836,0.0000000,0.5200000,0.0000000,8.9000000,-0.9286622,0.8607447,-1.1684294,-0.0001421,0.0000040,-0.0000014,-0.0153105,-0.0112124,0.0296929,-0.0000593,-0.0001292,-0.0000014
1525076666.0726171,0.0000000,0.5200000,0.0000000,8.9000000,-0.9286626,0.8607429,-1.1684284,-0.0002673,-0.0000891,0.0002437,-0.0141605,-0.0106655,0.0278728,-0.0000227,-0.0002809,0.0002437
1525076666.0809505,0.0000000,0.5200000,0.0000000,8.9000000,-0.9286626,0.8607400,-1.1684254,-0.0003781,-0.0001738,0.0004631,-0.0119248,-0.0092875,0.0236772,0.0000118,-0.0004160,0.0004631
1525076666.0892839,0.0000000,0.5200000,0.0000000,8.9000000,-0.9286624,0.8607360,-1.1684207,-0.0004661,-0.0002439,0.0006383,-0.0088287,-0.0072642,0.0175481,0.0000419,-0.0005244,0.0006383
1525076666.0976174,0.0000000,0.5200000,0.0000000,8.9000000,-0.9286619,0.8607312,-1.1684147,-0.0005253,-0.0002949,0.0007556,-0.0051893,-0.0048078,0.0100999,0.0000656,-0.0005988,0.0007556
1525076666.1059508,0.0000000,0.5200000,0.0000000,8.9000000,-0.9286613,0.8607260,-1.1684081,-0.0005526,-0.0003240,0.0008067,-0.0013812,-0.0021587,0.0021131,0.0000817,-0.0006353,0.0008067
1525076666.1142843,0.0000000,0.5200000,0.0000000,8.9000000,-0.9286606,0.8607207,-1.1684013,-0.0005483,-0.0003308,0.0007908,0.0021949,0.0004533,-0.0055750,0.0000897,-0.0006340,0.0007908
1525076666.1226177,0.0000000,0.5200000,0.0000000,8.9000000,-0.9286598,0.8607155,-1.1683949,-0.0005160,-0.0003165,0.0007138,0.0051985,0.0028625,-0.0122573,0.0000891,-0.0005987,0.0007138
1525076666.1309512,0.0000000,0.5200000,0.0000000,8.9000000,-0.9286591,0.8607107,-1.1683894,-0.0004616,-0.0002831,0.0005865,0.0073995,0.0049192,-0.0173519,0.0000797,-0.0005356,0.0005865
1525076666.1392846,0.0000000,0.5200000,0.0000000,8.9000000,-0.9286585,0.8607065,-1.1683851,-0.0003927,-0.0002345,0.0004246,0.0086677,0.0064842,-0.0204110,0.0000620,-0.0004531,0.0004246
1525076666.1476181,0.0000000,0.5200000,0.0000000,8.9000000,-0.9286580,0.8607031,-1.1683823,-0.0003172,-0.0001751,0.0002463,0.0090112,0.0074460,-0.0212317,0.0000369,-0.0003604,0.0002463
1525076666.1559515,0.0000000,0.5200000,0.0000000,8.9000000,-0.9286579,0.8607005,-1.1683810,-0.0002425,-0.0001104,0.0000707,0.0085876,0.0077355,-0.0198700,0.0000066,-0.0002663,0.0000707
1525076666.1642849,0.0000000,0.5200000,0.0000000,8.9000000,-0.9286579,0.8606987,-1.1683811,-0.0001740,-0.0000461,-0.0000849,0.0076168,0.0073667,-0.0166410,-0.0000257,-0.0001782,-0.0000849
1525076666.1726184,0.0000000,0.5200000,0.0000000,8.9000000,-0.9286583,0.8606975,-1.1683824,-0.0001155,0.0000124,-0.0002067,0.0063388,0.0064120,-0.0120198,-0.0000567,-0.0001014,-0.0002067
1525076666.1809518,0.0000000,0.5200000,0.0000000,8.9000000,-0.9286589,0.8606970,-1.1683846,-0.0000684,0.0000607,-0.0002852,0.0049865,0.0049901,-0.0066140,-0.0000827,-0.0000392,-0.0002852
1525076666.1892853,0.0000000,0.5200000,0.0000000,8.9000000,-0.9286597,0.8606969,-1.1683872,-0.0000324,0.0000956,-0.0003169,0.0037716,0.0032943,-0.0011950,-0.0001006,0.0000076,-0.0003169
1525076666.1976187,0.0000000,0.5200000,0.0000000,8.9000000,-0.9286606,0.8606971,-1.1683899,-0.0000055,0.0001156,-0.0003051,0.0028293,0.0015826,0.0035464,-0.0001086,0.0000402,-0.0003051
1525076666.2059522,0.0000000,0.5200000,0.0000000,8.9000000,-0.9286615,0.8606976,-1.1683923,0.0000147,0.0001219,-0.0002578,0.0021798,0.0000894,0.0070844,-0.0001064,0.0000613,-0.0002578
1525076666.2142856,0.0000000,0.5200000,0.0000000,8.9000000,-0.9286623,0.8606981,-1.1683942,0.0000308,0.0001171,-0.0001870,0.0018232,-0.0009935,0.0089623,-0.0000957,0.0000742,-0.0001870
1525076666.2226191,0.0000000,0.5200000,0.0000000,8.9000000,-0.9286631,0.8606988,-1.1683954,0.0000451,0.0001054,-0.0001084,0.0017487,-0.0015506,0.0089610,-0.0000793,0.0000828,-0.0001084
1525076666.2309525,0.0000000,0.5200000,0.0000000,8.9000000,-0.9286637,0.8606995,-1.1683960,0.0000599,0.0000913,-0.0000377,0.0018901,-0.0015911,0.0072343,-0.0000605,0.0000909,-0.0000377
1525076666.2392859,0.0000000,0.5200000,0.0000000,8.9000000,-0.9286641,0.8607003,-1.1683960,0.0000766,0.0000789,0.0000122,0.0021855,-0.0011950,0.0040816,-0.0000426,0.0001014,0.0000122
1525076666.2476194,0.0000000,0.5200000,0.0000000,8.9000000,-0.9286644,0.8607012,-1.1683958,0.0000964,0.0000714,0.0000304,0.0025877,-0.0005185,-0.0000488,-0.0000279,0.0001166,0.0000304
1525076666.2559528,0.0000000,0.5200000,0.0000000,8.9000000,-0.9286645,0.8607023,-1.1683955,0.0001198,0.0000702,0.0000113,0.0030417,0.0002654,-0.0045142,-0.0000177,0.0001377,0.0000113
1525076666.2642863,0.0000000,0.5200000,0.0000000,8.9000000,-0.9286647,0.8607035,-1.1683956,0.0001471,0.0000758,-0.0000449,0.0035014,0.0010007,-0.0087344,-0.0000121,0.0001650,-0.0000449
1525076666.2726197,0.0000000,0.5200000,0.0000000,8.9000000,-0.9286647,0.8607050,-1.1683963,0.0001781,0.0000869,-0.0001342,0.0039001,0.0015456,-0.0122100,-0.0000102,0.0001979,-0.0001342
1525076666.2809532,0.0000000,0.5200000,0.0000000,8.9000000,-0.9286648,0.8607068,-1.1683978,0.0002121,0.0001015,-0.0002484,0.0041327,0.0018222,-0.0144726,-0.0000104,0.0002349,-0.0002484
1525076666.2892866,0.0000000,0.5200000,0.0000000,8.9000000,-0.9286649,0.8607089,-1.1684004,0.0002470,0.0001173,-0.0003754,0.0040829,0.0018145,-0.0152263,-0.0000112,0.0002732,-0.0003754
1525076666.2976201,0.0000000,0.5200000,0.0000000,8.9000000,-0.9286650,0.8607114,-1.1684041,0.0002801,0.0001318,-0.0005022,0.0036669,0.0015663,-0.0144136,-0.0000116,0.0003093,-0.0005022
1525076666.3059535,0.0000000,0.5200000,0.0000000,8.9000000,-0.9286651,0.8607141,-1.1684088,0.0003081,0.0001434,-0.0006157,0.0028425,0.0011155,-0.0120593,-0.0000113,0.0003396,-0.0006157
1525076666.3142869,0.0000000,0.5200000,0.0000000,8.9000000,-0.9286652,0.8607170,-1.1684143,0.0003275,0.0001504,-0.0007031,0.0015993,0.0004850,-0.0082790,-0.0000101,0.0003602,-0.0007031
1525076666.3226204,0.0000000,0.5200000,0.0000000,8.9000000,-0.9286653,0.8607201,-1.1684205,0.0003348,0.0001515,-0.0007536,-0.0000176,-0.0002783,-0.0033488,-0.0000083,0.0003673,-0.0007536
1525076666.3309538,0.0000000,0.5200000,0.0000000,8.9000000,-0.9286653,0.8607231,-1.1684269,0.0003272,0.0001457,-0.0007590,-0.0019108,-0.0011104,0.0023503,-0.0000060,0.0003581,-0.0007590
1525076666.3392873,0.0000000,0.5200000,0.0000000,8.9000000,-0.9286654,0.8607261,-1.1684331,0.0003029,0.0001330,-0.0007145,-0.0038917,-0.0019789,0.0083671,-0.0000037,0.0003308,-0.0007145
1525076666.3476207,0.0000000,0.5200000,0.0000000,8.9000000,-0.9286654,0.8607287,-1.1684388,0.0002623,0.0001128,-0.0006195,-0.0057042,-0.0028456,0.0141654,-0.0000010,0.0002855,-0.0006195
1525076666.3559542,0.0000000,0.5200000,0.0000000,8.9000000,-0.9286654,0.8607308,-1.1684435,0.0002078,0.0000855,-0.0004784,-0.0071321,-0.0035987,0.0191238,0.0000027,0.0002247,-0.0004784
1525076666.3642876,0.0000000,0.5200000,0.0000000,8.9000000,-0.9286654,0.8607324,-1.1684468,0.0001435,0.0000528,-0.0003008,-0.0079751,-0.0041459,0.0227154,0.0000076,0.0001527,-0.0003008
1525076666.3726211,0.0000000,0.5200000,0.0000000,8.9000000,-0.9286653,0.8607334,-1.1684485,0.0000749,0.0000164,-0.0000998,-0.0080774,-0.0044157,0.0245460,0.0000142,0.0000754,-0.0000998
1525076666.3809545,0.0000000,0.5200000,0.0000000,8.9000000,-0.9286651,0.8607337,-1.1684484,0.0000088,-0.0000208,0.0001083,-0.0074164,-0.0043111,0.0243259,0.0000226,-0.0000000,0.0001083
1525076666.3892879,0.0000000,0.5200000,0.0000000,8.9000000,-0.9286649,0.8607334,-1.1684467,-0.0000487,-0.0000554,0.0003056,-0.0060876,-0.0037974,0.0220885,0.0000319,-0.0000665,0.0003056
1525076666.3976214,0.0000000,0.5200000,0.0000000,8.9000000,-0.9286646,0.8607326,-1.1684433,-0.0000926,-0.0000841,0.0004765,-0.0042986,-0.0029188,0.0181580,0.0000411,-0.0001182,0.0004765
1525076666.4059548,0.0000000,0.5200000,0.0000000,8.9000000,-0.9286642,0.8607314,-1.1684387,-0.0001203,-0.0001041,0.0006083,-0.0023517,-0.0017669,0.0130063,0.0000486,-0.0001515,0.0006083
1525076666.4142883,0.0000000,0.5200000,0.0000000,8.9000000,-0.9286638,0.8607300,-1.1684332,-0.0001318,-0.0001136,0.0006932,-0.0005786,-0.0004949,0.0073437,0.0000529,-0.0001658,0.0006932
